127.0.0.1 - - [14/May/2018:15:36:59 +0800] "GET / HTTP/1.1" 404 564 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [14/May/2018:15:36:59 +0800] "GET /favicon.ico HTTP/1.1" 404 564 "http://localhost/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"
127.0.0.1 - - [14/May/2018:15:41:29 +0800] "GET /v2/movie/search?q=x HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:42:17 +0800] "GET /v2/movie/search?q= HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:42:17 +0800] "GET /v2/movie/search?q=m HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:42:18 +0800] "GET /v2/movie/search?q=ma HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:42:18 +0800] "GET /v2/movie/search?q=man HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:42:28 +0800] "GET /v2/movie/search?q=x HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:42:28 +0800] "GET /v2/movie/search?q=xx HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:43:27 +0800] "GET /v2/movie/search?q=x HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
127.0.0.1 - - [14/May/2018:15:43:27 +0800] "GET /v2/movie/search?q= HTTP/1.1" 400 65 "https://servicewechat.com/wx4e4aa3feccc94274/devtools/page-frame.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 wechatdevtools/1.02.1804251 MicroMessenger/6.5.7 Language/zh_CN webview/"
